# pyDL periodicity scores computed on 2022-03-08 09:17:54
# Calculation time:  837.654523 seconds
# Input files:  /mnt/c/users/sophi/OneDrive/WIP/crypto/data/crypto_rnaseq_norm_trim.tsv
# Period(s) of oscillation tested:  60.0000, 70.0000, 80.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  1
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
CNAG_00109	60.0	0.15376099249313557	1.0701023160448653	0.953458	1.2684039755274386	1e-06	1.0	1.2684039755274386	2040673326584.92
CNAG_00110	80.0	0.4677324489551787	5.171771194081101	0.011636	0.015479600212319027	1e-06	1.0	0.015479600212319027	3724674.5204598443
CNAG_00111	80.0	0.15174385628996112	1.668536435042834	0.958207	1.274721663857475	1e-06	1.0	1.274721663857475	2071318106767.6663
CNAG_00115	60.0	0.45026706365805264	0.43294671281523267	0.013972	0.01858722706828132	1e-06	1.0	0.01858722706828132	6440201.998454165
CNAG_00116	80.0	0.22647051850657815	1.7123799362843395	0.5588	0.7433826571539938	1e-06	1.0	0.7433826571539938	410807624128.1798
CNAG_00117	80.0	0.14499647091172344	1.7768293652928655	0.971641	1.2925931789186895	1e-06	1.0	1.2925931789186895	2159664420921.8645
CNAG_00118	80.0	0.13819835218602053	2.4809370312621937	0.981749	1.306040050605362	1e-06	1.0	1.306040050605362	2227769091354.632
CNAG_00119	80.0	0.23078504617006046	1.615077146039607	0.527845	0.7022026103533462	1e-06	1.0	0.7022026103533462	346249084490.68896
CNAG_00120	70.0	0.2621059991216125	1.5702530805040484	0.31982	0.4254628514870979	1e-06	1.0	0.4254628514870979	77017208373.87276
CNAG_00121	70.0	0.5780512789074418	4.625449569040368	0.002749	0.0036570488985617914	1e-06	1.0	0.0036570488985617914	52566.49774084551
CNAG_00122	80.0	0.3456712630562338	3.701211557315337	0.061243	0.08147277035089844	1e-06	1.0	0.08147277035089844	540882971.5078089
CNAG_00123	80.0	0.229962952394851	0.7596060155220933	0.533632	0.7099011705483179	1e-06	1.0	0.7099011705483179	357762628686.9622
CNAG_00124	80.0	0.1907332114568221	1.849920671850297	0.799584	1.0637023595880797	1e-06	1.0	1.0637023595880797	1203541821435.9783
CNAG_00125	80.0	0.1245985923300803	1.031377601052115	0.993441	1.3215941487217624	1e-06	1.0	1.3215941487217624	2308314631744.2773
CNAG_00126	60.0	0.1875569327435232	1.5107384852411367	0.817361	1.0873514531747415	1e-06	1.0	1.0873514531747415	1285614077332.8826
CNAG_00127	80.0	0.28878969019470807	1.5670498277057308	0.190895	0.2539513821356687	1e-06	1.0	0.2539513821356687	16377926239.908394
CNAG_00128	80.0	0.2583620067927332	1.7272462139113216	0.342183	0.45521279129013076	1e-06	1.0	0.45521279129013076	94329145709.3776
CNAG_00129	70.0	0.20312034707790688	2.6126511421013205	0.722284	0.9608686455615879	1e-06	1.0	0.9608686455615879	887141653003.4435
CNAG_00130	80.0	0.5099986020428919	4.007179102119276	0.007112	0.009461233818323558	1e-06	1.0	0.009461233818323558	856383.9185340088
CNAG_00131	80.0	0.16167457432310342	1.634712154146295	0.931101	1.2386620176427	1e-06	1.0	1.2386620176427	1900461951241.1155
CNAG_00132	70.0	0.08622981666996316	2.39576502704197	0.999948	1.3302505391120647	1e-06	1.0	1.3302505391120647	2353970470592.064
CNAG_00133	80.0	0.2904683137266201	0.534614483132691	0.184483	0.2454213721183612	1e-06	1.0	0.2454213721183612	14782394365.311762
CNAG_00134	80.0	0.21919763484639762	1.6810811606475815	0.610907	0.8127016265819164	1e-06	1.0	0.8127016265819164	536777716849.0244
CNAG_00135	80.0	0.10772826422923845	1.42434279604485	0.998827	1.3287592507107233	1e-06	1.0	1.3287592507107233	2346062531096.5566
CNAG_00136	80.0	0.27872820136640375	1.7630854610187852	0.233386	0.3104779971770616	1e-06	1.0	0.3104779971770616	29929359590.2973
CNAG_00137	80.0	0.4006116384433289	1.9752725157034126	0.025095	0.03338437326642712	1e-06	1.0	0.03338437326642712	37240852.40187111
CNAG_00138	80.0	0.08854436932631593	1.5017399638903581	0.999923	1.3302172811191713	1e-06	1.0	1.3302172811191713	2353793918106.4375
CNAG_00139	70.0	0.5697081483996437	4.020761417891754	0.003082	0.004100045363902307	1e-06	1.0	0.004100045363902307	73023.4061141408
CNAG_00140	80.0	0.24293916191523193	1.8422114809702053	0.442005	0.5880079659544578	1e-06	1.0	0.5880079659544578	203306525969.10043
CNAG_00141	80.0	0.2018017968396522	2.103060229772295	0.731113	0.9726140383318324	1e-06	1.0	0.9726140383318324	920073441149.5847
CNAG_00142	60.0	0.30086480004083965	1.5535302157649746	0.149219	0.19850897766260164	1e-06	1.0	0.19850897766260164	7822614224.899887
CNAG_00143	80.0	0.17283362110700384	2.0347149747035163	0.889568	1.1834098488889835	1e-06	1.0	1.1834098488889835	1657319660979.302
CNAG_00144	80.0	0.20801707108974118	1.6129623362944805	0.689383	0.9170997965941154	1e-06	1.0	0.9170997965941154	771348682421.5889
CNAG_00145	70.0	0.1568511112617148	3.4241734709322924	0.945575	1.2579170652082816	1e-06	1.0	1.2579170652082816	1990475037500.6292
CNAG_00146	60.0	0.236462893396951	1.294509761022264	0.487392	0.6483871868926259	1e-06	1.0	0.6483871868926259	272586748438.80392
CNAG_00147	80.0	0.11524321188852464	0.8440624058933102	0.997291	1.3267158796273508	1e-06	1.0	1.3267158796273508	2335255818899.143
CNAG_00148	80.0	0.3201153876081505	2.25389775421588	0.100853	0.13416673429125223	1e-06	1.0	0.13416673429125223	2415233405.131923
CNAG_00149	60.0	0.2815706007818314	1.6755835285150853	0.220566	0.2934232984213096	1e-06	1.0	0.2934232984213096	25263252501.471462
CNAG_00150	70.0	0.2589991993142517	3.604792975338235	0.338427	0.4502161104378215	1e-06	1.0	0.4502161104378215	91256891624.00433
CNAG_00151	80.0	0.20175004623226608	2.058314551226254	0.731392	0.972985197532523	1e-06	1.0	0.972985197532523	921127169975.338
CNAG_00152	80.0	0.11024427493678479	1.0097796757984128	0.998413	1.3282084983484082	1e-06	1.0	1.3282084983484082	2343146509606.2656
CNAG_00153	80.0	0.1593896558757531	1.2934104493094685	0.938258	1.248183115848232	1e-06	1.0	1.248183115848232	1944623921351.1
CNAG_00154	80.0	0.3634892171380487	1.8110745210645334	0.044164	0.058752239925821376	1e-06	1.0	0.058752239925821376	202861446.59237772
CNAG_00155	60.0	0.0388205608490008	1.1508975170342608	1.0	1.330319715737283	1e-06	1.0	1.330319715737283	2354337728041.2397
CNAG_00156	80.0	0.2199220919411521	1.4129483850949223	0.605725	0.8058079098149658	1e-06	1.0	0.8058079098149658	523233668156.5416
CNAG_00157	80.0	0.08823379079665822	0.8536409671569944	0.999926	1.3302212720783186	1e-06	1.0	1.3302212720783186	2353815103938.587
CNAG_00158	80.0	0.16583441273023636	1.6633227325670321	0.916988	1.2198872154944997	1e-06	1.0	1.2198872154944997	1815347476413.9438
CNAG_00159	80.0	0.08639963580057686	1.5045281778111164	0.999947	1.3302492087923492	1e-06	1.0	1.3302492087923492	2353963408323.1387
CNAG_00160	70.0	0.13673184167812832	2.7667205267885584	0.983504	1.308374761706481	1e-06	1.0	1.308374761706481	2239737710210.8813
CNAG_00161	80.0	0.2259002610405111	1.81697567756094	0.562888	0.7488210041519279	1e-06	1.0	0.7488210041519279	419889739148.0825
CNAG_00162	80.0	0.4964618617150061	2.6850403758991277	0.008376	0.011142757939015483	1e-06	1.0	0.011142757939015483	1394640.7281853913
CNAG_00163	80.0	0.09327066193949045	1.5402973054636155	0.999837	1.330102873623618	1e-06	1.0	1.330102873623618	2353186644972.808
CNAG_00164	70.0	0.2747028329678565	4.266026834497514	0.252726	0.33620638047942064	1e-06	1.0	0.33620638047942064	38003371743.96409
CNAG_00165	70.0	0.3286409869851389	2.328870428788715	0.085191	0.11333126690337489	1e-06	1.0	0.11333126690337489	1455738865.7254546
CNAG_00166	80.0	0.33834014143019925	2.088515190468606	0.070383	0.0936318925527372	1e-06	1.0	0.0936318925527372	820958822.6309645
CNAG_00167	80.0	0.35187952060251176	0.906162477453872	0.054488	0.07248646067109309	1e-06	1.0	0.07248646067109309	380937533.97331166
CNAG_00171	80.0	0.14975989890517769	1.6338599772554732	0.962599	1.280564428048993	1e-06	1.0	1.280564428048993	2099930880762.8806
